"0...1","Число избирателей, внесенных в список избирателей на момент окончания голосования","Число избирательных бюллетеней, полученных участковой избирательной комиссией","Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно","Число избирательных бюллетеней, выданных в помещении для голосования в день голосования","Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования","Число погашенных избирательных бюллетеней","Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования","Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования","Число недействительных избирательных бюллетеней","Число действительных избирательных бюллетеней","Число открепительных удостоверений, полученных участковой избирательной комиссией","Число открепительных удостоверений, выданных на избирательном участке до дня голосования","Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке","Число погашенных неиспользованных открепительных удостоверений","Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией","Число утраченных открепительных удостоверений","Число утраченных избирательных бюллетеней","Число избирательных бюллетеней, не учтенных при получении","0...20","1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""","0...22","2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ","0...24","3. Политическая партия ""Российская партия пенсионеров за справедливость""","0...26","4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""","0...28","5. Политическая партия ""Российская экологическая партия ""Зеленые""","0...30","6. Политическая партия ""Гражданская Платформа""","0...32","7. Политическая партия ЛДПР - Либерально-демократическая партия России","0...34","8. Политическая партия ""Партия народной свободы"" (ПАРНАС)","0...36","9. Всероссийская политическая партия ""ПАРТИЯ РОСТА""","0...38","10. Общественная организация Всероссийская политическая партия ""Гражданская Сила""","0...40","11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""","0...42","12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""","0...44","13. Политическая партия ""ПАТРИОТЫ РОССИИ""","0...46","14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ","0...48"
"Сумма",109569,96300,0,34538,207,61553,207,34245,763,33689,2652,1089,1093,1563,199,0,2,0,0,914,"2.65%",425,"1.23%",745,"2.16%",12006,"34.85%",623,"1.81%",124,"0.36%",3324,"9.65%",894,"2.59%",3210,"9.32%",95,"0.28%",3696,"10.73%",4272,"12.40%",164,"0.48%",3197,"9.28%"
"УИК №1793",1989,1500,0,670,4,826,4,657,16,645,52,15,12,37,5,0,0,0,0,16,"2.42%",13,"1.97%",8,"1.21%",230,"34.80%",12,"1.82%",4,"0.61%",52,"7.87%",17,"2.57%",62,"9.38%",1,"0.15%",82,"12.41%",106,"16.04%",4,"0.61%",38,"5.75%"
"УИК №1794",2405,2000,0,878,11,1111,11,737,17,731,52,25,22,27,0,0,0,0,0,34,"4.55%",17,"2.27%",18,"2.41%",290,"38.77%",15,"2.01%",1,"0.13%",72,"9.63%",21,"2.81%",67,"8.96%",5,"0.67%",12,"1.60%",131,"17.51%",2,"0.27%",46,"6.15%"
"УИК №1795",1856,1500,0,494,3,1003,3,494,14,483,52,21,4,31,5,0,0,0,0,22,"4.43%",9,"1.81%",13,"2.62%",163,"32.80%",16,"3.22%",1,"0.20%",43,"8.65%",19,"3.82%",46,"9.26%",2,"0.40%",66,"13.28%",40,"8.05%",1,"0.20%",42,"8.45%"
"УИК №1796",1472,1100,0,461,3,636,3,448,18,433,52,8,1,44,2,0,0,0,0,13,"2.88%",4,"0.89%",6,"1.33%",146,"32.37%",11,"2.44%",2,"0.44%",35,"7.76%",12,"2.66%",57,"12.64%",1,"0.22%",73,"16.19%",58,"12.86%",2,"0.44%",13,"2.88%"
"УИК №1797",1826,1500,0,603,3,894,3,603,10,596,52,18,7,34,8,0,0,0,0,20,"3.30%",5,"0.83%",14,"2.31%",195,"32.18%",13,"2.15%",1,"0.17%",41,"6.77%",11,"1.82%",66,"10.89%",5,"0.83%",89,"14.69%",87,"14.36%",3,"0.50%",46,"7.59%"
"УИК №1798",2081,2000,0,682,7,1311,7,675,9,673,52,23,12,29,1,0,0,0,0,17,"2.49%",9,"1.32%",5,"0.73%",279,"40.91%",5,"0.73%",0,"0.00%",41,"6.01%",33,"4.84%",65,"9.53%",1,"0.15%",103,"15.10%",74,"10.85%",1,"0.15%",40,"5.87%"
"УИК №1799",1861,1500,0,578,10,912,10,558,7,561,52,15,12,37,1,0,0,0,0,15,"2.64%",7,"1.23%",12,"2.11%",182,"32.04%",14,"2.46%",3,"0.53%",42,"7.39%",17,"2.99%",78,"13.73%",3,"0.53%",76,"13.38%",77,"13.56%",6,"1.06%",29,"5.11%"
"УИК №1800",2093,2000,0,705,7,1288,7,691,36,662,52,14,10,38,2,0,0,0,0,8,"1.15%",6,"0.86%",10,"1.43%",219,"31.38%",16,"2.29%",2,"0.29%",58,"8.31%",21,"3.01%",75,"10.74%",1,"0.14%",116,"16.62%",85,"12.18%",4,"0.57%",41,"5.87%"
"УИК №1801",2208,2000,0,692,5,1303,5,692,25,672,52,15,19,37,3,0,0,0,0,10,"1.43%",3,"0.43%",5,"0.72%",231,"33.14%",19,"2.73%",0,"0.00%",59,"8.46%",23,"3.30%",70,"10.04%",1,"0.14%",123,"17.65%",91,"13.06%",1,"0.14%",36,"5.16%"
"УИК №1802",2555,2500,0,759,9,1732,9,759,17,751,52,14,3,38,3,0,0,0,0,24,"3.13%",11,"1.43%",10,"1.30%",252,"32.81%",17,"2.21%",2,"0.26%",84,"10.94%",20,"2.60%",91,"11.85%",3,"0.39%",101,"13.15%",89,"11.59%",0,"0.00%",47,"6.12%"
"УИК №1803",2715,2500,0,860,4,1636,4,860,0,864,52,21,20,31,3,0,0,0,0,20,"2.31%",16,"1.85%",14,"1.62%",314,"36.34%",26,"3.01%",5,"0.58%",96,"11.11%",23,"2.66%",77,"8.91%",5,"0.58%",77,"8.91%",125,"14.47%",6,"0.69%",60,"6.94%"
"УИК №1804",2302,2000,0,671,9,1320,9,671,18,662,52,16,17,36,3,0,0,0,0,17,"2.50%",10,"1.47%",13,"1.91%",257,"37.79%",12,"1.76%",3,"0.44%",72,"10.59%",13,"1.91%",54,"7.94%",3,"0.44%",75,"11.03%",76,"11.18%",1,"0.15%",56,"8.24%"
"УИК №1805",2636,2500,0,711,8,1781,8,711,0,719,52,45,8,7,2,0,0,0,0,23,"3.20%",20,"2.78%",11,"1.53%",352,"48.96%",8,"1.11%",27,"3.76%",59,"8.21%",32,"4.45%",34,"4.73%",5,"0.70%",41,"5.70%",51,"7.09%",26,"3.62%",30,"4.17%"
"УИК №1806",1991,1500,0,659,10,831,10,658,14,654,52,20,11,32,5,0,0,0,0,17,"2.54%",7,"1.05%",15,"2.25%",180,"26.95%",12,"1.80%",3,"0.45%",58,"8.68%",26,"3.89%",75,"11.23%",1,"0.15%",125,"18.71%",93,"13.92%",1,"0.15%",41,"6.14%"
"УИК №1807",2862,2500,0,948,10,1542,10,948,14,944,52,22,24,30,2,0,0,0,0,37,"3.86%",9,"0.94%",27,"2.82%",347,"36.22%",14,"1.46%",2,"0.21%",71,"7.41%",30,"3.13%",103,"10.75%",1,"0.10%",159,"16.60%",91,"9.50%",7,"0.73%",46,"4.80%"
"УИК №1808",2393,2000,0,800,10,1190,10,799,27,782,52,39,9,13,3,0,0,0,0,17,"2.10%",14,"1.73%",17,"2.10%",271,"33.50%",16,"1.98%",2,"0.25%",96,"11.87%",22,"2.72%",88,"10.88%",0,"0.00%",103,"12.73%",85,"10.51%",9,"1.11%",42,"5.19%"
"УИК №1809",1617,1500,0,501,7,992,7,501,15,493,52,15,14,37,2,0,0,0,0,10,"1.97%",8,"1.57%",12,"2.36%",184,"36.22%",5,"0.98%",0,"0.00%",33,"6.50%",9,"1.77%",55,"10.83%",1,"0.20%",58,"11.42%",83,"16.34%",0,"0.00%",35,"6.89%"
"УИК №1810",2458,2000,0,753,3,1244,3,752,11,744,52,37,6,15,6,0,0,0,0,19,"2.52%",5,"0.66%",15,"1.99%",250,"33.11%",12,"1.59%",4,"0.53%",80,"10.60%",22,"2.91%",70,"9.27%",0,"0.00%",115,"15.23%",94,"12.45%",3,"0.40%",55,"7.28%"
"УИК №1812",2573,2500,0,824,5,1671,5,822,12,815,52,32,16,20,5,0,0,0,0,21,"2.54%",4,"0.48%",22,"2.66%",270,"32.65%",13,"1.57%",1,"0.12%",100,"12.09%",17,"2.06%",77,"9.31%",1,"0.12%",101,"12.21%",97,"11.73%",3,"0.36%",88,"10.64%"
"УИК №1813",2687,2500,0,820,2,1678,2,820,12,810,52,27,16,25,6,0,0,0,0,19,"2.31%",7,"0.85%",18,"2.19%",279,"33.94%",14,"1.70%",0,"0.00%",92,"11.19%",26,"3.16%",73,"8.88%",5,"0.61%",61,"7.42%",127,"15.45%",2,"0.24%",87,"10.58%"
"УИК №1814",2022,2000,0,591,3,1406,3,589,12,580,52,22,14,30,5,0,0,0,0,10,"1.69%",2,"0.34%",13,"2.20%",203,"34.29%",14,"2.36%",2,"0.34%",53,"8.95%",17,"2.87%",38,"6.42%",2,"0.34%",67,"11.32%",84,"14.19%",1,"0.17%",74,"12.50%"
"УИК №1815",1892,1500,0,541,0,959,0,540,7,533,52,19,17,33,5,0,0,0,0,15,"2.78%",7,"1.30%",9,"1.67%",186,"34.44%",5,"0.93%",2,"0.37%",57,"10.56%",9,"1.67%",63,"11.67%",0,"0.00%",49,"9.07%",71,"13.15%",0,"0.00%",60,"11.11%"
"УИК №1816",1797,1500,0,603,0,897,0,602,8,594,52,25,20,27,4,0,0,0,0,17,"2.82%",10,"1.66%",15,"2.49%",197,"32.72%",14,"2.33%",5,"0.83%",59,"9.80%",18,"2.99%",43,"7.14%",1,"0.17%",83,"13.79%",62,"10.30%",1,"0.17%",69,"11.46%"
"УИК №1817",2156,2000,0,682,2,1316,2,682,9,675,52,20,47,32,2,0,0,0,0,19,"2.78%",12,"1.75%",8,"1.17%",246,"35.96%",11,"1.61%",4,"0.58%",59,"8.63%",20,"2.92%",65,"9.50%",0,"0.00%",52,"7.60%",91,"13.30%",4,"0.58%",84,"12.28%"
"УИК №1818",1535,1100,0,591,1,508,1,587,11,577,52,20,37,32,4,0,0,0,0,18,"3.06%",11,"1.87%",11,"1.87%",253,"43.03%",12,"2.04%",1,"0.17%",60,"10.20%",9,"1.53%",56,"9.52%",1,"0.17%",22,"3.74%",80,"13.61%",3,"0.51%",40,"6.80%"
"УИК №1819",2373,2000,0,814,4,1182,4,814,17,801,52,17,73,35,8,0,0,0,0,24,"2.93%",17,"2.08%",26,"3.18%",285,"34.84%",23,"2.81%",1,"0.12%",75,"9.17%",27,"3.30%",64,"7.82%",3,"0.37%",61,"7.46%",120,"14.67%",0,"0.00%",75,"9.17%"
"УИК №1820",1591,1500,0,591,0,909,0,591,4,587,52,16,25,36,7,0,0,0,0,14,"2.37%",5,"0.85%",22,"3.72%",222,"37.56%",10,"1.69%",2,"0.34%",55,"9.31%",24,"4.06%",48,"8.12%",2,"0.34%",90,"15.23%",66,"11.17%",4,"0.68%",23,"3.89%"
"УИК №1821",2414,2000,0,715,4,1281,4,712,13,703,52,39,9,13,3,0,0,0,0,23,"3.21%",7,"0.98%",16,"2.23%",253,"35.34%",10,"1.40%",3,"0.42%",77,"10.75%",12,"1.68%",72,"10.06%",4,"0.56%",73,"10.20%",93,"12.99%",2,"0.28%",58,"8.10%"
"УИК №1822",2097,2000,0,682,3,1315,3,676,14,665,52,22,16,30,5,0,0,0,0,12,"1.77%",5,"0.74%",19,"2.80%",247,"36.38%",9,"1.33%",2,"0.29%",84,"12.37%",19,"2.80%",64,"9.43%",1,"0.15%",52,"7.66%",68,"10.01%",5,"0.74%",78,"11.49%"
"УИК №1823",2267,2000,0,714,3,1283,3,713,31,685,52,19,13,33,3,0,0,0,0,19,"2.65%",3,"0.42%",19,"2.65%",221,"30.87%",12,"1.68%",2,"0.28%",80,"11.17%",13,"1.82%",53,"7.40%",1,"0.14%",67,"9.36%",105,"14.66%",2,"0.28%",88,"12.29%"
"УИК №1824",2247,2000,0,715,1,1282,1,715,12,704,52,25,22,27,3,0,2,0,0,23,"3.21%",7,"0.98%",13,"1.82%",246,"34.36%",16,"2.23%",2,"0.28%",72,"10.06%",22,"3.07%",76,"10.61%",4,"0.56%",78,"10.89%",66,"9.22%",1,"0.14%",78,"10.89%"
"УИК №1825",2166,2000,0,654,3,1343,3,654,17,640,52,30,9,22,3,0,0,0,0,20,"3.04%",13,"1.98%",14,"2.13%",212,"32.27%",7,"1.07%",3,"0.46%",76,"11.57%",15,"2.28%",51,"7.76%",2,"0.30%",47,"7.15%",94,"14.31%",6,"0.91%",80,"12.18%"
"УИК №1826",1813,1500,0,474,2,1024,2,474,14,462,52,12,11,40,4,0,0,0,0,13,"2.73%",11,"2.31%",8,"1.68%",169,"35.50%",8,"1.68%",1,"0.21%",56,"11.76%",14,"2.94%",46,"9.66%",0,"0.00%",45,"9.45%",51,"10.71%",0,"0.00%",40,"8.40%"
"УИК №1827",2312,2000,0,806,0,1194,0,801,15,786,52,22,25,30,0,0,0,0,0,16,"1.99%",12,"1.50%",17,"2.12%",265,"33.08%",15,"1.87%",3,"0.37%",75,"9.36%",21,"2.62%",67,"8.36%",4,"0.50%",82,"10.24%",89,"11.11%",4,"0.50%",116,"14.48%"
"УИК №1828",2356,2000,0,810,2,1188,2,808,43,767,52,23,7,29,3,0,0,0,0,14,"1.73%",7,"0.86%",14,"1.73%",267,"32.96%",19,"2.35%",3,"0.37%",85,"10.49%",12,"1.48%",67,"8.27%",1,"0.12%",62,"7.65%",100,"12.35%",5,"0.62%",111,"13.70%"
